user_id,user_followers,likes,comments,id
179037181,1634,81,5,2297742899655135745
25783801241,95,3,1,2297738413553416176
32030939764,526,8,0,2297715524791715348
14288521,75570,419,17,2297709946912814555
2025150409,149,2,0,2297705923349356813
346968486,832,50,1,2297699678795074197
15774174834,569,22,5,2297684715397459024
2229954034,10340,23,0,2297673795986756388
1500203495,14095,105,3,2297645424323731519
214367363,7490,226,5,2297640360127527409
586353356,4576,13,0,2297636479886501509
8481397927,160,11,0,2297635203566566773
6674611393,82,5,2,2297634847488097299
2088155695,80,4,0,2297631428854029209
8613197298,51,0,0,2297628878037829363
332613132,65112,1241,14,2297628472902149448
8309304226,94,3,0,2297618331308696251
10236175547,5894,77,4,2297615661509114797
5930731378,140460,744,19,2297614483002303180
2108934684,3376,0,0,2297606748914914640
4153340653,4303,51,6,2297603954642689149
32721709,600282,2994,72,2297591322322520975
16381375426,8531,229,16,2258321938983648454
7459923585,718,11,1,2297563412266023084
588173195,10154,43,1,2297560893511484728
1299616057,13832,256,155,2297546961578308773
4666899903,57701,585,79,2297545032002981399
1578456897,44470,294,25,2297533759686977149
3487136202,22384,1052,41,2297533501670768696
33992747215,21,20,0,2297532027724690103
190739427,2022,173,9,2297508666833676218
1963289875,619,3,2,2297498124938065451
324039363,20292,37,2,2297496581971494819
2138998970,64024,620,67,2297494340217177235
296955215,20000,10,0,2297490535765791961
40809204,4423,3,0,2297490839869150768
25890956,5551,109,10,2297483610338522636
28146010159,1498,62,2,2297426958815241937
522696261,11277,707,12,2297461840668992734
22655678,206312,17272,672,2297445592690728226
2216195924,1514,6,2,2297432920926059098
1443240614,8307,16,3,2297406490149725540
5672162,21618,461,20,2297413542586770049
4402067400,257,88,12,2297408264214532888
5968125347,452,13,0,2297389774356113784
18152796329,1658,16,0,2297387919793872147
190996679,10313,61,43,2297378641917924266
13990893764,92,6,2,2297380122256592243
2055922138,9563,769,43,2292239333442445780
27752317683,435,60,1,2297377639723627917
9957503111,311,33,6,2297368130051465560
8598645679,10642,146,39,2297341324230649102
12509828583,2754,150,3,2297315410485431380
31132505065,3042,79,5,2297316489001072544
318501669,2256,5,0,2297311988487086485
2040593159,39776,338,25,2297311116307798897
10360619,19240,790,79,2297307237332627588
1613665345,362,18,0,2297298483693335858
34755343,10453,190,22,2297292295744390239
403870551,38776,146,135,2297288601016638861
8784884822,7163,338,101,2297253766860590317
33992747215,21,32,0,2297242124965339854
33992747215,21,30,1,2297234398512089985
33992747215,21,32,0,2297233148131158169
33992747215,21,21,1,2297232515563052848
33992747215,21,28,2,2297216048222255880
