user_id,user_followers,likes,comments,id
8507712693,578,5,0,2298140219715003981
5528398196,232,2,0,2298141500462471745
1411215703,2081,12,1,2298141328454108228
33913737636,1,1,0,2298141191417405733
1931824622,3581,1,0,2298140745427411928
1519404812,1654,0,0,2298140459804310708
4564100840,353,4,0,2298140296545101353
4140593939,11418,8,0,2298140091610211790
31383495676,64,7,0,2298138905537353546
33137517693,35,3,0,2298139134386285266
29810912002,39,1,0,2298138744014656534
26499939437,945,20,2,2298138449945210478
185570310,147,3,0,2298137122691580302
185570310,147,7,0,2298138404999293689
184475573,12080,33,0,2298138294873206618
5569340671,29017,23,2,2298138225715626522
24371598287,235,10,1,2298137869065993042
6060559384,39,3,0,2298137893092881952
5908945277,243,47,0,2298137146413571663
8277612330,257,17,4,2298135481702298961
46806724,2369,2,0,2298136308852570034
1992128406,79,1,0,2298136090950598347
34416746835,11,0,0,2298135975547625250
8306073879,127,7,0,2298135525045667674
10385798703,197,3,0,2298135515926418278
32284470286,3,3,0,2298133112574262692
30746653541,12,4,1,2298134965149153340
34430568761,21,3,0,2298134252099717316
12549180279,287,4,0,2298134128341852263
12549180279,287,5,0,2298133055145454536
12643012231,1028,10,0,2298133908754966934
31723001517,62,7,0,2298133630327119471
8423841835,308,6,0,2298133677104419136
596853186,545,48,0,2298133394198203971
33729022726,247,24,0,2298133390506293306
19440456,636,14,5,2298132894059331778
10674997966,751,10,0,2298131792636253523
6022053485,2552,34,0,2298131670179945478
565837415,1291,6,2,2298131544180968565
4664142773,21176,191,6,2298130842643693248
7711485230,1198,4,0,2298130729370789699
18785471151,108,5,0,2298118248566607901
30636223686,119,6,0,2298141557982097105
8235354804,95,2,1,2298141236605643154
33601898544,105,5,0,2298140709584000418
1391229637,8059,22,2,2298140447373539510
3001770235,259,1,0,2298139901224147800
8650259873,188,5,0,2298138905386334621
9206367248,221,17,1,2298138294620752516
1680564872,1319,41,5,2298137008462906389
3165632449,997,4,0,2298135965094605845
9208351998,214,10,0,2298135568558534828
19925552,697,4,0,2298135547115256610
9174003725,69,5,0,2298134341395551697
10594958017,571,9,1,2298134113124953623
5703663571,176,10,0,2298133590047039476
15843058254,183,0,0,2298133150139574981
1623520334,237,8,0,2298131750441154326
173723420,635,4,0,2298130774745901295
212927897,19087,124,1,2298138681167170820
6523895553,1038,13,1,2298141706503019321
34169354647,75,1,0,2298141113334193586
10233640877,346,30,0,2298111545128653835
144054251,1533,37,1,2297566861309372643
26428317131,153,60,5,2297437250916376821
1336180199,1187,147,1,2296706256255293866
1336180199,1187,167,18,2294518758686866012
1336180199,1187,168,6,2293813902384866748
6020411492,494,149,4,2297397626678800092
6020411492,494,216,9,2296758830530518747
6020411492,494,135,9,2296029966250387098
27922182496,218,78,8,2297011008722920923
27922182496,218,90,5,2295803401299435398
27922182496,218,101,4,2295541861925243879
27922182496,218,117,2,2294822939898726298
27922182496,218,249,7,2294477370270640715
27922182496,218,138,6,2294346777393266721
27922182496,218,114,1,2294111411767780833
34567957363,4,1,0,2296896050256823464
34567957363,4,1,0,2296894505142248278
290517253,398,3,2,2296702331025484864
5579712381,106,25,0,2296526900024495624
5579712381,106,22,6,2295072660873667726
13711829549,140,8,1,2296358510747571075
5451711730,314,18,1,2295944243828549899
7295923492,191,24,1,2295713390410212048
671402407,284,2,1,2295350586110705225
32518834469,126,29,3,2295314511664458262
18319449969,66,2,0,2295280410319841075
18154730462,116,5,0,2295054362139907708
9670596277,175,5,2,2294907966956416266
32253727438,22,8,1,2294768121711720920
6639399928,618,25,3,2294445195310591894
7097648724,178,15,0,2294348475791496677
7097648724,178,9,0,2293783200054489816
10833752686,457,13,0,2294237618049001753
7404923124,116,4,0,2293790585110040542
8378237049,39125,2586,16,2297594539345888514
8378237049,39125,2178,49,2297418904358956178
8378237049,39125,2302,17,2297061430196087708
8378237049,39125,1454,11,2296560929327123562
8378237049,39125,2408,15,2296322575855681749
8378237049,39125,1863,15,2295909794325120162
8378237049,39125,1368,11,2295735827278755345
8378237049,39125,2670,42,2295209069303423229
8378237049,39125,1876,25,2295027301220668361
8378237049,39125,1965,18,2294914032027905906
8378237049,39125,3209,59,2294700557641005069
8378237049,39125,2272,19,2294368383704334653
8378237049,39125,2553,21,2294197929874195603
8378237049,39125,3254,54,2293979275832236629
8378237049,39125,2923,36,2293725778121380752
34192477689,55,5,0,2297464588534254886
8017410294,274,31,4,2296681428232879724
11785600087,145,6,1,2296002849648662337
3039960439,217,7,0,2295394100203233398
34005064990,141,14,1,2295237605972000950
34005064990,141,14,1,2295237226060501807
5385548780,273,50,1,2294478043129420987
11903870827,360,24,19,2294333844498778879
34090527093,,0,0,2298143758348114938
27922182496,218,93,6,2293722223869272528
17064714463,117,23,0,2293691639364222092
11181738229,524,4,1,2257646137942959116
2124302301,169,6,1,2298143693797717927
4357648,708,12,0,2298143665032172517
436060588,5320,7,1,2298143662364612802
9946897654,98,9,0,2298143536654438097
34561050221,73,8,0,2298143536090232986
20090077175,245,11,0,2298143512503579511
11523118132,195,21,5,2298143439657102276
8208541402,3275,7,0,2298143401396415342
1240872023,85726,262,4,2298143396228700075
32587446558,52,6,0,2298143390456610866
6297274324,94,5,0,2298143334310601656
9295383834,1350,3,0,2298143303691977074
6096368576,199,8,0,2298143297428102222
33072007230,171,19,1,2298143280011680635
1415448650,633,9,0,2298143267967108381
5573509697,1374,18,1,2298143187772132651
549517659,1463,11,0,2298143166699543807
51733669,228,7,0,2298143133363734657
33165755676,16,11,1,2298143068819467147
26400022301,247,6,0,2298142996921849344
4042225486,492,3,0,2298142945121107665
32431521649,1206,59,8,2298142877492309114
8210400572,89,8,2,2298141940350859036
